fid,name,AVG PL_mea,AVG LL_mea,AVG INDEX_,AVG MC_mea
1,AB,,,,
2,AL,39,18,17,23
3,B,25.067227,37.705882,21,20.747899
4,BA,25,50.666667,25.666667,28.666667
5,BB,34.6,27.2,20.8,19.6
6,BD,,,,
7,BH,,,,
8,BL,19.378378,26.378378,13,16.513514
9,BN,24.222222,56.222222,32,30.666667
10,BR,,,,
11,BS,35.333333,36,19,25.666667
12,CA,29.75,29.75,13.5,13.25
13,CB,20.4625,22.56875,10.76875,12.81875
14,CF,,,,
15,CH,18.25,31.194444,17.527778,15.666667
16,CM,23.703704,45.796296,28.018519,21.157407
17,CO,31.647059,40.705882,25.117647,20.411765
18,CR,27,76,49,30
19,CT,,,,
20,CV,22.731092,38.710084,22.445378,20.369748
21,CW,22.8,51.036364,29.127273,23.2
22,DA,,,,
23,DD,,,,
24,DE,20.764184,39.326241,20.570922,20.404255
25,DG,,,,
26,DH,,,,
27,DL,,,,
28,DN,26.490385,28.990385,19.288462,19.538462
29,DT,27,61,34,21
30,DY,37.090909,29.545455,20.636364,19.090909
31,E,31,75,44,26
32,EC,,,,
33,EH,,,,
34,EN,45.925,45.025,32.45,34.125
35,EX,25,58,23,34
36,FK,,,,
37,FY,14.68,34.64,15.72,22.16
38,G,,,,
39,GL,19,51,32,24
40,GU,21.333333,47.666667,26.333333,26.666667
41,HA,26,73.285714,47.285714,28.857143
42,HD,37.69697,35.060606,21.818182,18.030303
43,HG,,,,
44,HP,29.423077,75.269231,46.192308,33.692308
45,HR,14,30,12,14
46,HS,,,,
47,HU,,,,
48,HX,24,41,17,33
49,IG,,,,
50,IP,26.878788,22.424242,15.575758,19.515152
51,IV,,,,
52,KA,18,46,28,18
53,KT,38,16,14,24
54,KW,,,,
55,KY,,,,
56,L,21.2,30.482759,18.455172,18.144828
57,LA,16.152542,30.423729,11.728814,16.542373
58,LD,,,,
59,LE,20.080833,37.744167,20.026667,17.804167
60,LL,24,57,33,29
61,LN,26.333333,31.19697,18.151515,21.242424
62,LS,12,37,7,24
63,LU,21.5,44,22.5,21
64,M,23.692308,34.240385,19.067308,19.682692
65,ME,24.363636,50.090909,25,28.272727
66,MK,26.199219,23.507813,15.726563,14.59375
67,ML,,,,
68,N,24,68.125,44.125,25.625
69,NE,18,37,19,18
70,NG,27.37156,42.692661,22.83945,22.880734
71,NN,31.644366,31.630282,21.647887,21.482394
72,NP,,,,
73,NR,60,36,32,28
74,NW,25,76,49,33
75,OL,26.925373,34.686567,20.58209,19.940299
76,OX,24.84466,59.834951,35.990291,28.339806
77,PA,,,,
78,PE,24.757576,38.739394,23.193939,22.375758
79,PH,,,,
80,PL,,,,
81,PO,,,,
82,PR,23.428571,27.597403,17.493506,19.597403
83,RG,19.272727,48.045455,28.090909,25.681818
84,RH,19.833333,39.277778,19.277778,21.777778
85,RM,,,,
86,S,25.256757,42.22973,23.216216,21.337838
87,SA,,,,
88,SE,,,,
89,SG,34.572727,36.645455,25.1,25.327273
90,SK,26.412844,30.87156,17.440367,21.66055
91,SL,14,33,19,12
92,SM,,,,
93,SN,,,,
94,SO,46.470588,20.176471,19.647059,26.823529
95,SP,,,,
96,SR,,,,
97,SS,39,15,16,24
98,ST,21.616162,34.59596,17.808081,20.858586
99,SW,,,,
100,SY,22.166667,41.333333,20,22.333333
101,TA,,,,
102,TD,,,,
103,TF,17.551282,26.128205,14.75641,14.935897
104,TN,18.896552,39.724138,20.724138,19
105,TQ,16,44,28,18
106,TR,,,,
107,TS,,,,
108,TW,,,,
109,UB,22,56,34,25
110,W,,,,
111,WA,17.906977,41.697674,19.348837,22.186047
112,WC,,,,
113,WD,,,,
114,WF,,,,
115,WN,18.3,31.025,16.2,17.825
116,WR,21.588235,40.392157,19.196078,22.509804
117,WS,19.5,27.5,16.551724,15.224138
118,WV,18,39,21,22
119,YO,30.956522,45.521739,29.956522,29.347826
120,ZE,,,,
121,BT,,,,
122,GY,,,,
123,IM,,,,
124,JE,,,,
